epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3756,1.48776,3.39586,1.27659,0.42796,0.1101,0.09939,0.06344,1.27617,2.89554,1.15206,0.000299707,0.000299707,0.000299707
2,165.228,1.49216,2.26176,1.25136,0.35318,0.27728,0.23863,0.15358,1.27968,1.94606,1.16723,0.000572873,0.000572873,0.000572873
3,243.634,1.44562,1.95707,1.2434,0.47475,0.30869,0.28029,0.16226,1.33618,1.84211,1.22256,0.000816042,0.000816042,0.000816042
4,319.271,1.41073,1.74143,1.23675,0.51784,0.33735,0.33573,0.20895,1.28957,1.59376,1.19719,0.000774013,0.000774013,0.000774013
5,395.169,1.35649,1.63542,1.2018,0.63468,0.35485,0.37461,0.24158,1.22902,1.49524,1.15519,0.000729018,0.000729018,0.000729018
6,644.809,1.32471,1.53257,1.18199,0.66783,0.36229,0.39227,0.25057,1.21648,1.42416,1.13388,0.000684022,0.000684022,0.000684022
7,728.985,1.28087,1.45728,1.16676,0.65193,0.37598,0.40334,0.26803,1.10972,1.32314,1.10368,0.000639027,0.000639027,0.000639027
8,805.259,1.2512,1.37774,1.15454,0.64087,0.36989,0.39461,0.26608,1.08612,1.64446,1.11695,0.000594031,0.000594031,0.000594031
9,882.749,1.22952,1.33829,1.14264,0.6535,0.4141,0.44228,0.30845,1.05951,1.20884,1.08089,0.000549036,0.000549036,0.000549036
10,958.792,1.19972,1.30169,1.1322,0.74513,0.40351,0.45069,0.31952,1.06508,1.14871,1.07234,0.00050404,0.00050404,0.00050404
11,1034.97,1.0724,1.14309,1.07836,0.75614,0.39876,0.44661,0.31174,1.02807,1.14461,1.06058,0.000459045,0.000459045,0.000459045
12,1109.8,1.0468,1.06843,1.06028,0.73045,0.41905,0.46222,0.32804,1.00927,1.0668,1.05304,0.000414049,0.000414049,0.000414049
13,1183.97,1.01022,1.00076,1.04538,0.76515,0.40656,0.46742,0.33413,0.9979,1.06695,1.03559,0.000369054,0.000369054,0.000369054
14,1270.34,0.98169,0.97917,1.02364,0.81458,0.41117,0.47882,0.34641,0.95634,0.9887,1.02992,0.000324058,0.000324058,0.000324058
15,1345.48,0.97217,0.95097,1.03075,0.77864,0.43157,0.47731,0.34944,0.95165,0.97459,1.02171,0.000279063,0.000279063,0.000279063
16,1417.69,0.94654,0.9129,1.01642,0.76154,0.44208,0.49285,0.35645,0.92868,0.94063,1.01452,0.000234068,0.000234068,0.000234068
17,1491.6,0.90853,0.85277,1.00083,0.76923,0.43917,0.48789,0.36153,0.9092,0.92642,1.00844,0.000189072,0.000189072,0.000189072
18,1565.29,0.89789,0.83935,0.99729,0.74639,0.45319,0.49591,0.3706,0.89336,0.88958,0.9982,0.000144077,0.000144077,0.000144077
19,1638,0.88337,0.82685,0.98714,0.83229,0.44269,0.50098,0.37628,0.88262,0.87883,0.99723,9.9081e-05,9.9081e-05,9.9081e-05
20,1712.37,0.85748,0.78708,0.9707,0.79304,0.46774,0.50534,0.37792,0.86636,0.85464,0.99008,5.40855e-05,5.40855e-05,5.40855e-05
