epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10054.4,0.79895,0.63286,0.96295,0.83335,0.50729,0.57039,0.4292,0.75118,0.63883,0.95063,0.0003235,0.0003235,0.0003235
43,10312.3,0.78089,0.63256,0.95435,0.85903,0.51463,0.57963,0.43731,0.73543,0.60351,0.94454,0.000307,0.000307,0.000307
44,10505.7,0.77045,0.6159,0.95165,0.85773,0.50136,0.58083,0.44358,0.73081,0.60692,0.94393,0.0002905,0.0002905,0.0002905
45,10702.6,0.77683,0.61878,0.94861,0.87423,0.50351,0.5796,0.44178,0.73727,0.61112,0.94524,0.000274,0.000274,0.000274
46,10901.1,0.76761,0.60282,0.94527,0.89153,0.50863,0.58418,0.44565,0.73026,0.59246,0.9404,0.0002575,0.0002575,0.0002575
47,11099.3,0.75476,0.59501,0.94505,0.87984,0.52371,0.59013,0.4485,0.73762,0.59799,0.94216,0.000241,0.000241,0.000241
48,11295.5,0.7491,0.57687,0.94378,0.86816,0.51964,0.58377,0.45015,0.73059,0.5917,0.93739,0.0002245,0.0002245,0.0002245
49,11492.4,0.75053,0.57593,0.94686,0.88274,0.52117,0.58989,0.4499,0.72011,0.5773,0.93685,0.000208,0.000208,0.000208
50,11694.7,0.75068,0.57041,0.93687,0.88281,0.5244,0.5897,0.44875,0.72658,0.5743,0.93983,0.0001915,0.0001915,0.0001915
51,11894.9,0.65037,0.4735,0.89374,0.90841,0.50799,0.58862,0.45616,0.71008,0.567,0.93749,0.000175,0.000175,0.000175
52,12093.1,0.64224,0.45765,0.89391,0.85928,0.53616,0.59425,0.45885,0.71248,0.55996,0.93766,0.0001585,0.0001585,0.0001585
53,12291.9,0.63681,0.45722,0.89008,0.90412,0.51548,0.58669,0.45463,0.70269,0.55385,0.93555,0.000142,0.000142,0.000142
54,12492.3,0.6384,0.4546,0.89707,0.86233,0.52653,0.58943,0.45381,0.70078,0.55443,0.93191,0.0001255,0.0001255,0.0001255
55,12691.4,0.62108,0.44104,0.89154,0.87141,0.53071,0.59469,0.45828,0.7002,0.54756,0.93447,0.000109,0.000109,0.000109
56,12917.6,0.61726,0.43963,0.87929,0.89414,0.52466,0.59697,0.46053,0.69327,0.55427,0.93267,9.25e-05,9.25e-05,9.25e-05
57,13094.8,0.60396,0.43023,0.88037,0.87672,0.53099,0.59794,0.46132,0.6951,0.54991,0.93164,7.6e-05,7.6e-05,7.6e-05
58,13278.7,0.60145,0.42223,0.88422,0.8901,0.52232,0.59687,0.46315,0.68581,0.54259,0.93109,5.95e-05,5.95e-05,5.95e-05
59,13461.3,0.59671,0.41454,0.87799,0.89105,0.51863,0.59858,0.46397,0.68407,0.53999,0.92881,4.3e-05,4.3e-05,4.3e-05
60,13644.2,0.59097,0.41385,0.87508,0.87673,0.52204,0.59508,0.46545,0.67557,0.53611,0.92599,2.65e-05,2.65e-05,2.65e-05
