epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.663,1.34152,2.0854,1.22573,0.37976,0.27878,0.25156,0.16333,1.29877,2.55278,1.20688,0.0673587,0.00032971,0.00032971
2,409.393,1.30951,1.58826,1.20268,0.56898,0.32493,0.34896,0.22904,1.20192,1.63491,1.15965,0.0343423,0.000646633,0.000646633
3,611.365,1.30673,1.51536,1.20101,0.51956,0.35461,0.35614,0.22509,1.22969,1.42476,1.16235,0.00130938,0.000947056,0.000947056
4,811.496,1.29939,1.41434,1.19724,0.64025,0.34421,0.37595,0.24243,1.22531,1.54894,1.17945,0.00092575,0.00092575,0.00092575
5,1604.44,1.26358,1.3358,1.18453,0.6965,0.40561,0.42851,0.28898,1.12226,1.14171,1.12719,0.000901,0.000901,0.000901
6,1968.12,1.2355,1.29812,1.16703,0.64371,0.39531,0.42557,0.27908,1.13878,1.15309,1.11228,0.00087625,0.00087625,0.00087625
7,2390.31,1.26666,1.2962,1.17274,0.691,0.37016,0.42891,0.29145,1.0991,1.17262,1.10677,0.0008515,0.0008515,0.0008515
8,2579.12,1.19859,1.1518,1.13947,0.74048,0.40591,0.45147,0.31305,1.07715,1.06469,1.08321,0.00082675,0.00082675,0.00082675
9,2827.66,1.14345,1.12074,1.1142,0.7403,0.39363,0.45758,0.3203,1.04907,1.05932,1.06941,0.000802,0.000802,0.000802
10,3012.29,1.14524,1.09973,1.11963,0.75687,0.43084,0.48457,0.33982,0.99008,0.92364,1.04924,0.00077725,0.00077725,0.00077725
11,3197.23,1.12106,1.05687,1.10043,0.77744,0.41393,0.47412,0.33117,1.01062,0.99012,1.05949,0.0007525,0.0007525,0.0007525
12,3637.08,1.10626,1.01237,1.09928,0.80182,0.39985,0.48498,0.34199,1.00842,0.99497,1.05824,0.00072775,0.00072775,0.00072775
13,3823.81,1.0753,1.01332,1.0866,0.76751,0.42635,0.48823,0.34361,1.00136,0.95345,1.06087,0.000703,0.000703,0.000703
14,4008.81,1.03151,0.96428,1.05771,0.79123,0.43652,0.49508,0.35657,0.94072,0.88076,1.02101,0.00067825,0.00067825,0.00067825
15,4194.83,1.0212,0.92328,1.0537,0.78494,0.45451,0.50562,0.36326,0.92137,0.8342,1.02428,0.0006535,0.0006535,0.0006535
16,4380.13,1.01171,0.90271,1.05443,0.81951,0.45207,0.52271,0.3746,0.91838,0.82197,1.02187,0.00062875,0.00062875,0.00062875
17,4570.8,0.99822,0.89685,1.05393,0.85128,0.41691,0.4981,0.35201,0.9279,0.84223,1.02672,0.000604,0.000604,0.000604
18,4757.53,0.98798,0.86757,1.04584,0.80594,0.4805,0.5348,0.38629,0.87894,0.75535,0.99938,0.00057925,0.00057925,0.00057925
19,4956.08,0.94567,0.85191,1.0225,0.77775,0.47561,0.52963,0.38115,0.86952,0.76581,0.99788,0.0005545,0.0005545,0.0005545
20,5199.26,0.9472,0.82701,1.02202,0.85494,0.47044,0.53209,0.38992,0.86364,0.76317,0.99689,0.00052975,0.00052975,0.00052975
21,5401.65,0.94935,0.81955,1.02562,0.82943,0.4772,0.53745,0.39416,0.86562,0.75879,1.001,0.000505,0.000505,0.000505
22,5681.16,0.91152,0.7902,1.00906,0.80084,0.47262,0.53308,0.38866,0.86511,0.73991,0.99433,0.00048025,0.00048025,0.00048025
23,5904.69,0.92225,0.79247,1.01723,0.87794,0.45592,0.53498,0.38665,0.84227,0.73966,0.98876,0.0004555,0.0004555,0.0004555
24,6322.43,0.90135,0.77942,1.00854,0.85271,0.4722,0.53936,0.39911,0.81265,0.7163,0.97249,0.00043075,0.00043075,0.00043075
25,6839.1,0.90141,0.75221,1.00623,0.8201,0.49324,0.54965,0.4079,0.81228,0.70647,0.96619,0.000406,0.000406,0.000406
26,7331.67,0.86904,0.71829,0.99678,0.81755,0.49053,0.55033,0.41021,0.7946,0.67168,0.9712,0.00038125,0.00038125,0.00038125
27,7521.64,0.87441,0.72826,0.99049,0.82666,0.49245,0.55274,0.41508,0.78747,0.67583,0.96283,0.0003565,0.0003565,0.0003565
28,7710.35,0.85937,0.70361,0.98598,0.80306,0.49513,0.552,0.41581,0.77482,0.65703,0.9564,0.00033175,0.00033175,0.00033175
29,7912.17,0.84722,0.69512,0.98484,0.82953,0.49654,0.55757,0.41939,0.76348,0.64295,0.95247,0.000307,0.000307,0.000307
